Base,"Schools should not sell junk food on campus, but ... ",,arg0 (actor),verb1,arg1 (Object),arg2,verb2,arg0,arg1,arg2,verb3,arg0,arg1,arg2,Primary Verb,arg0 (agent),arg1 (patient) ,arg2 (beneficiary),verb5,arg0,arg1,arg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but kids should still be allowed to bring their own junk food if they want to .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,allowed,-,to bring their own junk food if they want to,kids,bring,kids,their own junk food,-,want,they,to,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but nutritious food and snacks should be sold instead .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,sold,-,nutritious food and snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but only healthy foods should be sold .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,sold,-,only healthy foods,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but other more healthy alternatives should be sold .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,sold,-,other more healthy alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but parents should be allowed to pack whatever they want in their children 's lunches .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,allowed,-,to pack whatever they want in their children 's lunches,-,pack,parents,whatever they want in their children 's lunches,-,want,they,whatever,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but people should be allowed to choose their own diet .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,allowed,-,to choose their own diet,-,choose,people,their own diet,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but should also be limited on what quasi - healthy options are available as well ( eg . sports drinks , granola bars , etc )",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,Schools,"limited on what quasi - healthy options are available as well ( eg . sports drinks , granola bars , etc )",limited,Schools,"on what quasi - healthy options are available as well ( eg . sports drinks , granola bars , etc )",-,are,-,what quasi - healthy options,available,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should be allowed it at home,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,allowed,Schools,it,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should be allowed to sell snacks and soda,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,allowed,-,to sell snacks and soda,-,sell,Schools,snacks and soda,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should be allowed to sell somewhat healthier alternatives .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,allowed,-,to sell somewhat healthier alternatives,-,sell,Schools,somewhat healthier alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should be available for sale in the general marketplace .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,Schools,available for sale in the general marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should be transparent about their reasoning and teach kids why unhealthy foods are n't good .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,Schools,transparent about their reasoning,teach,Schools,why unhealthy foods are n't good,kids,are,-,unhealthy foods,good,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students should be able to bring their own lunch into school .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,students,able to bring their own lunch into school,bring,students,their own lunch,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students should be able to bring their own snacks if they want that .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,students,able to bring their own snacks if they want that,bring,students,their own snacks,-,want,they,that,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students should be able to make their own decisions about what foods they consume .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,students,able to make their own decisions about what foods they consume,make,students,their own decisions about what foods they consume,-,consume,they,what foods,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students should be allowed to bring it to school .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,allowed,-,to bring it to school,-,bring,students,it,to school,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students should be allowed to bring junk food if the parents provide it .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,allowed,-,to bring junk food if the parents provide it,-,bring,students,junk food,-,provide,the parents,it,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students should be allowed to bring junk food to campus if they desire .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,allowed,-,to bring junk food to campus,-,bring,students,junk food,to campus,campus,-,-,-,desire,they,-,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students should be allowed to choose what they eat .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,allowed,-,to choose what they eat,-,choose,students,what they eat,-,eat,they,what,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students should be responsible enough to make healthy choices on their own .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,students,responsible enough to make healthy choices on their own,make,-,healthy choices,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but there should be alternatives they sell .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,alternatives they sell,-,sell,they,alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but there should be healthy snacks available .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,healthy snacks available,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but there should be some options to what the students can buy .,modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,some options to what the students can buy,-,buy (can),the students,what,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should be able to on certain occasions .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,they,able to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should be allowed other means to replace the revenue lost by disallowing junk food sales .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,allowed,-,other means to replace the revenue lost by disallowing junk food sales,they,replace,-,the revenue lost by disallowing junk food sales,other means,lost,-,the revenue,-,disallowing,-,junk food sales,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should be allowed to bring it from home if the parents allow it .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,allowed,-,to bring it from home if the parents allow it,-,bring,they,it,-,allow,the parents,it,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should be allowed to bring it from home .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,allowed,-,to bring it from home,-,bring,they,it,from home,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should be allowed to make an exception for after school events such as football games .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,allowed,-,to make an exception for after school events such as football games,-,make,they,an exception for after school events such as football games,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should be allowed to provide healthy snacks and drinks for students to enjoy .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,allowed,-,to provide healthy snacks and drinks for students to enjoy,-,provide,they,healthy snacks and drinks for students to enjoy,-,drinks,-,-,-,enjoy,students,healthy snacks and drinks,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should be offering healthy snacks .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,offering,they,healthy snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should be prepared for community backlash .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,they,prepared for community backlash,prepared,-,they,for community backlash,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but we should all be accountable for are own eating habits .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,we,accountable for,are,-,-,own eating habits,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but what should be sold insted of junk food ?,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,sold,-,what,-,insted,-,of junk food,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but young people should be given the choice of what types of items they would like to purchase and eat .,modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,given,-,the choice of what types of items they would like to purchase and eat,young people,like (would),they,to purchase and eat,-,purchase,they,what types of items,-,eat,they,what types of items,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but it will be sold anyway , due to it being cheaper .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (will),-,-,-,sold,-,it,-,being,-,it,cheaper,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but a couple options for junk food would be ok .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (would),-,a couple options for junk food,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it would be ok once in a while .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (would),-,it,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but snacks would be okay in moderation . Like providing each student with so many points for snacks throughout the week .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (would),-,snacks,okay,providing,-,with so many points for snacks throughout the week,each student,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they would be losing a good revenue source .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (would),-,-,-,losing,they,a good revenue source,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but , this would be acceptable for sports related events .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (would),-,this,acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but some believe that these children deserve more variety .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,believe,some,that these children deserve more variety,-,deserve,these children,more variety,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but I believe it is nice to occasionally have bake sales , pizza parties , ice cream socials , etc .",,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,believe,I,"it is nice to occasionally have bake sales , pizza parties , ice cream socials , etc",-,is,-,"to occasionally have bake sales , pizza parties , ice cream socials , etc",nice,have,-,"bake sales , pizza parties , ice cream socials , etc",-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but I believe that some junk food is okay , it 's just about moderation and balancing it out with more healthy foods .",,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,believe,I,that some junk food is okay,-,is,-,some junk food,okay,s,-,it,just about moderation,balancing,-,it,with more healthy foods,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but Bring healthy food,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,bring,Schools,healthy food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they can bring it from home .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,bring (can),they,it,from home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but students can bring whatever they want from home for lunch , which could include junk .",modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,bring (can),students,whatever they want from home,-,want,they,whatever,-,include (could),-,junk,whatever they want from home for lunch,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but kids can bring in whatever they like,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,bring (can),kids,whatever they like,-,like,they,whatever,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but kids could bring a lunch from home .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,bring (could),kids,a lunch,from home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students may bring it anyway .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,bring (may),students,it,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but instead they should bring some healthy snacks and foods .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,bring (should),they,some healthy snacks and foods,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students will still bring their own junk food .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,bring (will),students,their own junk food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but kids will still bring in unhealthy food .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,bring (will),kids,unhealthy food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it brings in income for the school .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,brings,it,income for the school,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but if a students brings it in his lunch , then he should be allowed to consume it",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,brings,a students,it,in his lunch,be (should),-,-,-,allowed,-,to consume it,-,consume,he,it,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but if a student brings it from somewhere else it should be allowed .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,brings,a student,it,-,be (should),-,-,-,allowed,-,it,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but if a student brings some in it is okay .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,brings,a student,some,in it,is,-,it,okay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students will of course buy it off - campus .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,buy (will),students,it,off - campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they ca nt help what the kids eat off campus .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,ca,-,-,-,help,they,what the kids eat off campus,-,eat,the kids,what,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but we ca n't take away peoples rights .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,ca,-,-,-,take,we,peoples rights,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but if they do they should charge more for it .,auxiliary modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,charge (should),they,more,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but if kids choose to bring so on their own , that is their family 's decision .",,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,choose,kids,to bring so on their own,-,bring,kids,so on their own,-,is,-,that,their family 's decision,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but if children choose to bring it in their lunch that is on them .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,choose,children,to bring it in their lunch that is on them,-,bring,children,it,in their lunch that is on them,is,-,their lunch,on them,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they can choose to sell food that are nutritious and healthy .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,choose (can),they,to sell food that are nutritious and healthy,-,sell,they,food that are nutritious and healthy,-,are,-,food,nutritious and healthy,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but some people claim that banning junk foods infringes on the students freedom of choice .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,claim,some people,that banning junk foods infringes on the students freedom of choice,-,banning,-,junk foods,-,infringes,banning junk foods,on the students freedom of choice,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should n’t confiscate junk food that is brought from home .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,confiscate (should),Schools,junk food that is brought from home,-,is,-,-,-,brought,-,junk food,from home,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but could consider selling them at sporting or extra curricular events .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,consider (could),Schools,selling them at sporting or extra curricular events,-,selling,Schools,them,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they may consider replacing the snacks with healthy options .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,consider (may),they,replacing the snacks with healthy options,-,replacing,they,the snacks,with healthy options,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should consider allowing healthy options to be sold .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,consider (should),Schools,allowing healthy options to be sold,-,allowing,Schools,healthy options to be sold,-,be,-,-,-,sold,-,healthy options,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they continue to do so,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,continue,they,to do so,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they continue to do so as it makes them money,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,continue,they,to do so,-,makes (do),it,them money,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but continue to so they make more money .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,continue,Schools,to,-,make,they,more money,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but schools continue to do so because of the revenue it brings .,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,continue,schools,to do so,-,brings (do),it,the revenue,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but many students continue to eat these unhealthy snacks .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,continue,many students,to eat these unhealthy snacks,-,eat,many students,these unhealthy snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they probably will continue to do so .,modal auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,continue (will),they,to do so,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they will continue to do it anyway .,modal auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,continue (will),they,to do it,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but this practice will continue since they are making money .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,continue (will),-,this practice,-,are,-,-,-,making,they,money,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should not control their diet outside of school .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,control (should),they,their diet,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but its still their own choice what they decide to do .,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,decide,they,to do,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but if children decide to bring it from their own homes then it is on the child and the parent at that point .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,decide,children,to bring it from their own homes,-,bring,children,it,from their own homes,is,-,it,on the child and the parent,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but If a parent decides to give junk food to a child for breakfast in the lunch box , it is their responsibility",,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,decides,a parent,to give junk food to a child for breakfast in the lunch box,-,give,a parent,junk food,to a child,is,-,it,their responsibility,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but we must clearly define why we mean by junk food if we are to enforce this rule .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,define (must),we,why we mean by junk food,-,mean,we,-,-,are,-,we,to enforce this rule,enforce,we,this rule,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they did not take step to stop selling .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,did,-,-,-,take,they,step,-,stop,they,selling,-,selling,they,-,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but doing so would cause them to lose money that could be used to provide key funding .,modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,doing,-,so,-,cause (would),doing so,them to lose money that could be used to provide key funding,-,lose,them,money that could be used to provide key funding,-,be (could),-,-,-,used,-,money,to provide key funding,provide,-,key funding,-,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but doing so would make for a happier student body , especially when they would suffer if they ca n't have access to junk food at school when they do at home .",modal modal auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,doing,-,so,-,make (would),doing so,for a happier student body,-,suffer (would),they,-,-,ca,-,-,-,have,they,access to junk food at school,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they earn money with junk food .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,earn,they,money,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but the choice to eat healthy or unhealthy is ultimately up to the student .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,eat,-,-,-,is,-,the choice to eat healthy or unhealthy,up to the student,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they need to eat healthy,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,eat (need),they,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but if it there the children would eat with out the parents knowing .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,eat (would),the children,-,-,knowing,the parents,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it should also educate students and staff alike on why it has opted to do so .,modal auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,educate (should),it,students and staff alike,on why it has opted to do so,has,-,-,-,opted,it,to do so,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it should educate students on the importance of nutrition and how it can affect them in life .,modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,educate (should),it,students,on the importance of nutrition and how it can affect them in life,affect (can),it,them in life,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but educating students about good food choices still needs to happen because they will have access to junk food off campus .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,educating,Schools,students,about good food choices,needs,educating students about good food choices,to happen,-,happen,-,educating students about good food choices,-,have (will),they,access to junk food off campus,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should encourage healthier eating habits by providing alternative snacks and beverages .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,encourage (should),Schools,healthier eating habits,-,providing,Schools,alternative snacks and beverages,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they can not enforce eating habits outside of school .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,enforce (can),they,eating habits outside of school,-,eating,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but should eschew the misnamed pseudoscience about "" healthiness "" of foods , instead emphasizing nutrition as understood scientifically .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,eschew (should),Schools,"the misnamed pseudoscience about "" healthiness "" of foods",-,misnamed,-,pseudoscience,-,emphasizing,Schools,nutrition as understood scientifically,-,understood,-,-,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should not express disapproval of children who bring junk food in their own lunches .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,express (should),they,disapproval of children who bring junk food in their own lunches,-,bring,children,junk food,in their own lunches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but familes should have a say in what their kids eat .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,familes,-,-,-,have (should),familes,a say in what their kids eat,-,eat,their kids,what,-,,,,,,,,,,,,,,,,,,,,,,,,
